Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
4,6,6,83,100,0.0377,0.0327,0.9474,0.9737,0.20,17.66
4,6,6,84,100,0.0442,0.0327,0.9474,0.9737,0.20,17.86
4,6,6,85,100,0.0462,0.0327,0.9298,0.9737,0.20,18.07
4,6,6,86,100,0.0434,0.0327,0.9474,0.9737,0.20,18.27
4,6,6,87,100,0.0455,0.0327,0.9649,0.9737,0.20,18.47
4,6,6,88,100,0.0456,0.0327,0.9474,0.9737,0.20,18.68
4,6,6,89,100,0.0519,0.0327,0.9386,0.9737,0.21,18.88
4,6,6,90,100,0.0665,0.0327,0.8947,0.9737,0.21,19.09
4,6,6,91,100,0.0485,0.0327,0.9561,0.9737,0.21,19.29
4,6,6,92,100,0.0521,0.0327,0.9474,0.9737,0.21,19.50
4,6,6,93,100,0.0395,0.0327,0.9561,0.9737,0.20,19.70
4,6,6,94,100,0.0404,0.0327,0.9474,0.9737,0.23,19.94
4,6,6,95,100,0.0373,0.0327,0.9561,0.9737,0.23,20.17
4,6,6,96,100,0.0334,0.0327,0.9386,0.9737,0.23,20.40
4,6,6,97,100,0.0322,0.0322,0.9474,0.9737,0.23,20.63
4,6,6,98,100,0.0384,0.0322,0.9474,0.9737,0.21,20.83
4,6,6,99,100,0.0377,0.0322,0.9474,0.9737,0.20,21.04
4,6,6,100,100,0.0302,0.0302,0.9474,0.9737,0.21,21.25
=================================================================================
6,6,8,1,100,0.5274,0.5274,0.8596,0.8596,0.30,0.30
6,6,8,2,100,0.2400,0.2400,0.9298,0.9298,0.29,0.59
6,6,8,3,100,0.1152,0.1152,0.9474,0.9474,0.29,0.89
6,6,8,4,100,0.1027,0.1027,0.9561,0.9561,0.32,1.20
6,6,8,5,100,0.0718,0.0718,0.9386,0.9561,0.32,1.52
6,6,8,6,100,0.0836,0.0718,0.9298,0.9561,0.33,1.85
6,6,8,7,100,0.0761,0.0718,0.9386,0.9561,0.32,2.17
6,6,8,8,100,0.0695,0.0695,0.8947,0.9561,0.31,2.48
6,6,8,9,100,0.0773,0.0695,0.9737,0.9737,0.30,2.77
6,6,8,10,100,0.0671,0.0671,0.9649,0.9737,0.31,3.09
6,6,8,11,100,0.0630,0.0630,0.9561,0.9737,0.31,3.40
6,6,8,12,100,0.0810,0.0630,0.9649,0.9737,0.30,3.70
6,6,8,13,100,0.0574,0.0574,0.9561,0.9737,0.28,3.98
6,6,8,14,100,0.0627,0.0574,0.9737,0.9737,0.28,4.27
6,6,8,15,100,0.0783,0.0574,0.9649,0.9737,0.28,4.55
6,6,8,16,100,0.0661,0.0574,0.9561,0.9737,0.28,4.83
6,6,8,17,100,0.0713,0.0574,0.9561,0.9737,0.28,5.11
6,6,8,18,100,0.0545,0.0545,0.9561,0.9737,0.29,5.40
6,6,8,19,100,0.0857,0.0545,0.9649,0.9737,0.28,5.68
6,6,8,20,100,0.0679,0.0545,0.9561,0.9737,0.28,5.97
6,6,8,21,100,0.0641,0.0545,0.9561,0.9737,0.30,6.26
6,6,8,22,100,0.0602,0.0545,0.9474,0.9737,0.29,6.56
6,6,8,23,100,0.0639,0.0545,0.9035,0.9737,0.29,6.84
6,6,8,24,100,0.0686,0.0545,0.9123,0.9737,0.28,7.12
6,6,8,25,100,0.0550,0.0545,0.9649,0.9737,0.28,7.41
6,6,8,26,100,0.0663,0.0545,0.9649,0.9737,0.28,7.69
6,6,8,27,100,0.0722,0.0545,0.9386,0.9737,0.28,7.97
6,6,8,28,100,0.0696,0.0545,0.9649,0.9737,0.28,8.26
6,6,8,29,100,0.0790,0.0545,0.9561,0.9737,0.28,8.54
6,6,8,30,100,0.0644,0.0545,0.9123,0.9737,0.28,8.82
6,6,8,31,100,0.0958,0.0545,0.9474,0.9737,0.29,9.11
6,6,8,32,100,0.0835,0.0545,0.9474,0.9737,0.28,9.39
6,6,8,33,100,0.0580,0.0545,0.9649,0.9737,0.28,9.67
6,6,8,34,100,0.0731,0.0545,0.9474,0.9737,0.28,9.96
6,6,8,35,100,0.0654,0.0545,0.9035,0.9737,0.28,10.24
6,6,8,36,100,0.0833,0.0545,0.9561,0.9737,0.28,10.52
6,6,8,37,100,0.0823,0.0545,0.9474,0.9737,0.28,10.80
6,6,8,38,100,0.0649,0.0545,0.9561,0.9737,0.28,11.09
6,6,8,39,100,0.0666,0.0545,0.9386,0.9737,0.28,11.37
6,6,8,40,100,0.0485,0.0485,0.9298,0.9737,0.28,11.65
6,6,8,41,100,0.0545,0.0485,0.9474,0.9737,0.28,11.93
6,6,8,42,100,0.0599,0.0485,0.9474,0.9737,0.28,12.22
6,6,8,43,100,0.0553,0.0485,0.9386,0.9737,0.29,12.50
6,6,8,44,100,0.0537,0.0485,0.9649,0.9737,0.28,12.79
6,6,8,45,100,0.0459,0.0459,0.9474,0.9737,0.28,13.07
6,6,8,46,100,0.0442,0.0442,0.9474,0.9737,0.28,13.35
6,6,8,47,100,0.0479,0.0442,0.9649,0.9737,0.28,13.63
6,6,8,48,100,0.0498,0.0442,0.9474,0.9737,0.28,13.91
6,6,8,49,100,0.0470,0.0442,0.9386,0.9737,0.28,14.20
6,6,8,50,100,0.0599,0.0442,0.9474,0.9737,0.28,14.48
6,6,8,51,100,0.0637,0.0442,0.9474,0.9737,0.28,14.76
6,6,8,52,100,0.0539,0.0442,0.9649,0.9737,0.28,15.04
6,6,8,53,100,0.0649,0.0442,0.9561,0.9737,0.28,15.32
6,6,8,54,100,0.0595,0.0442,0.9474,0.9737,0.28,15.60
6,6,8,55,100,0.0464,0.0442,0.9386,0.9737,0.28,15.88
6,6,8,56,100,0.0529,0.0442,0.9298,0.9737,0.28,16.17
6,6,8,57,100,0.0565,0.0442,0.9561,0.9737,0.30,16.47
6,6,8,58,100,0.0465,0.0442,0.9474,0.9737,0.29,16.75
6,6,8,59,100,0.0513,0.0442,0.9211,0.9737,0.28,17.04
6,6,8,60,100,0.0561,0.0442,0.9035,0.9737,0.28,17.32
6,6,8,61,100,0.0457,0.0442,0.9561,0.9737,0.28,17.60
6,6,8,62,100,0.0369,0.0369,0.9474,0.9737,0.28,17.88
6,6,8,63,100,0.0480,0.0369,0.9561,0.9737,0.28,18.16
6,6,8,64,100,0.0372,0.0369,0.9386,0.9737,0.28,18.44
6,6,8,65,100,0.0404,0.0369,0.9386,0.9737,0.28,18.73
6,6,8,66,100,0.0378,0.0369,0.9386,0.9737,0.28,19.01
6,6,8,67,100,0.0409,0.0369,0.9474,0.9737,0.28,19.29
