Layers,Qubits,PCA Layers,Epoch,Total Epochs,Cost,Best Cost,Accuracy,Best Accuracy,Time,Total Time
4,6,6,73,100,0.0331,0.0331,0.9386,0.9649,0.00,0.22
4,6,6,74,100,0.0320,0.0320,0.9298,0.9649,0.00,0.23
4,6,6,75,100,0.0361,0.0320,0.9298,0.9649,0.00,0.23
4,6,6,76,100,0.0327,0.0320,0.9386,0.9649,0.00,0.23
4,6,6,77,100,0.0484,0.0320,0.9123,0.9649,0.00,0.23
4,6,6,78,100,0.0328,0.0320,0.9298,0.9649,0.00,0.24
4,6,6,79,100,0.0385,0.0320,0.9298,0.9649,0.00,0.24
4,6,6,80,100,0.0384,0.0320,0.9298,0.9649,0.00,0.24
4,6,6,81,100,0.0438,0.0320,0.9386,0.9649,0.00,0.24
4,6,6,82,100,0.0477,0.0320,0.9035,0.9649,0.00,0.25
4,6,6,83,100,0.0410,0.0320,0.9474,0.9649,0.00,0.25
4,6,6,84,100,0.0396,0.0320,0.9211,0.9649,0.00,0.25
4,6,6,85,100,0.0401,0.0320,0.9561,0.9649,0.00,0.26
4,6,6,86,100,0.1126,0.0320,0.9649,0.9649,0.00,0.26
4,6,6,87,100,0.0625,0.0320,0.9474,0.9649,0.00,0.26
4,6,6,88,100,0.0459,0.0320,0.9123,0.9649,0.00,0.26
4,6,6,89,100,0.0426,0.0320,0.9298,0.9649,0.00,0.27
4,6,6,90,100,0.0365,0.0320,0.9298,0.9649,0.00,0.27
4,6,6,91,100,0.0358,0.0320,0.9474,0.9649,0.00,0.27
4,6,6,92,100,0.0427,0.0320,0.9211,0.9649,0.00,0.27
4,6,6,93,100,0.0301,0.0301,0.9211,0.9649,0.00,0.28
4,6,6,94,100,0.0331,0.0301,0.9298,0.9649,0.00,0.28
4,6,6,95,100,0.0334,0.0301,0.9211,0.9649,0.00,0.28
4,6,6,96,100,0.0363,0.0301,0.9561,0.9649,0.00,0.29
4,6,6,97,100,0.0525,0.0301,0.9123,0.9649,0.00,0.29
4,6,6,98,100,0.0285,0.0285,0.9298,0.9649,0.00,0.29
4,6,6,99,100,0.0373,0.0285,0.9298,0.9649,0.00,0.29
4,6,6,100,100,0.0330,0.0285,0.9298,0.9649,0.00,0.30
=================================================================================
